,real,imag
260,-3.8168255e-07,4.368869e-07
261,2.0756958e-07,-1.8852478e-07
262,-1.5291393e-07,-5.2843923e-08
263,-3.520595e-07,-2.6053536e-07
264,-2.8881269e-07,-3.2299619e-09
265,-6.90796e-07,-2.6809644e-07
266,-4.8000118e-08,5.0700135e-07
267,3.985979e-07,9.472605e-08
268,2.3135995e-07,1.5327616e-07
269,-4.6792076e-07,-8.0403515e-07
270,4.452633e-07,-1.2117775e-07
271,3.8732207e-07,2.0684082e-07
272,4.52222e-07,3.442365e-07
273,-1.6635698e-07,2.5223963e-07
274,-1.3023985e-07,-7.430904e-07
275,-3.3680672e-07,1.6570735e-07
276,1.871208e-08,3.8870192e-07
277,3.067731e-08,-7.325051e-07
278,-3.90167e-08,2.674446e-08
279,-1.0825877e-06,9.246838e-07
280,3.1586288e-07,3.8402712e-07
281,1.3542625e-07,6.169151e-07
282,7.064737e-07,-4.7593915e-07
283,2.6369716e-07,-2.7381932e-07
284,-2.2764216e-07,-4.5981827e-07
285,-4.7329084e-07,5.432316e-07
286,1.9989761e-07,1.2134844e-07
287,-1.04614244e-07,-4.894298e-07
288,4.99006e-07,5.4260624e-07
289,4.482956e-07,-5.251558e-07
290,-3.399333e-07,8.6079086e-07
291,-4.3910813e-07,-2.349168e-07
292,2.1995477e-07,-3.141087e-07
293,3.175313e-07,7.587233e-07
294,-1.9241077e-07,3.550233e-07
295,-1.1877106e-07,1.326413e-07
296,1.8343849e-07,7.063973e-08
297,1.6659803e-07,-4.4325216e-07
298,-4.356947e-08,9.238974e-07
299,-3.9086396e-07,-2.7796185e-07
300,3.5303114e-07,3.0147805e-07
301,5.680113e-07,-9.344057e-08
302,2.7911895e-07,-4.2722328e-07
303,-5.7041774e-07,-6.6718627e-07
304,2.8893632e-07,-2.3582083e-07
305,-3.2250176e-07,2.799006e-07
306,-2.3505699e-07,1.0459753e-07
307,4.517434e-07,-3.427314e-07
308,-2.614378e-07,-3.4231627e-07
309,-1.4995346e-07,-1.1015894e-07
310,4.7963886e-07,3.025183e-07
311,-5.63072e-07,-4.957402e-08
312,2.4849706e-07,3.1131069e-07
313,1.2015977e-07,3.5687168e-07
314,8.210104e-08,-3.3029949e-07
315,-1.219624e-07,-1.01735196e-07
316,2.2322439e-07,-1.40033e-07
317,-8.143497e-08,1.4442973e-07
318,-3.9371713e-08,-2.797973e-07
319,3.7869924e-07,-1.9309522e-07
320,3.99263e-07,1.2030513e-08
321,3.5290512e-07,5.982243e-07
322,2.6932215e-08,4.5143395e-07
323,3.2570506e-07,-3.4989273e-07
324,-3.120478e-07,4.4160053e-08
325,-5.3808e-07,-2.482474e-07
326,1.787135e-07,-1.466283e-07
327,2.7253122e-07,1.6009356e-07
328,3.834196e-07,3.4061793e-07
329,-2.8137576e-08,1.10722844e-07
330,-2.3693673e-07,-4.259089e-09
331,1.6875886e-07,-1.1261913e-07
332,1.2001738e-07,-1.2314283e-07
333,7.9074283e-07,5.064014e-07
334,-4.3079723e-07,5.686929e-07
335,4.2679287e-07,-2.3974388e-07
336,2.7926995e-07,-3.6236864e-07
337,1.6060777e-07,3.878376e-07
338,-4.1424354e-07,-2.5908562e-07
339,-8.495872e-07,-4.0944826e-08
340,2.4589428e-07,-7.833013e-08
341,1.189546e-07,6.6327786e-08
342,3.9346892e-07,1.2706454e-07
343,-2.5707067e-07,1.8164073e-07
344,-6.493541e-08,-1.2165026e-06
345,5.756183e-07,-1.6801856e-07
346,6.082743e-07,1.8170734e-07
347,-4.5765424e-07,5.590733e-07
348,-2.7009835e-07,-2.0091151e-07
349,4.349738e-07,-1.5948158e-08
350,-1.1490948e-07,-2.6354223e-07
351,-4.7370105e-07,4.519195e-07
352,9.511367e-08,5.0339895e-07
